; Bank 0 - World Map Tiles
; obj_domain, min_value, max_value, bmp_width, bmp_height, generator type, end type, is_4bytes, obj_descript | enemy_handle_x enemy_handle_y, enemy_handle_x2, <obj_design[]>
0, 0x00, 0x00, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, White Mario Finished Stage, <$00>
0, 0x1E, 0x1E, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$7A>
0, 0x1F, 0x1F, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$7A>
0, 0x20, 0x20, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$7A>
0, 0x21, 0x21, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$7A>
0, 0x22, 0x22, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$7A>
0, 0x23, 0x23, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$7A>
0, 0x24, 0x24, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$7A>
0, 0x25, 0x25, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$7A>
0, 0x26, 0x26, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$7A>
0, 0x27, 0x27, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$7A>
0, 0x28, 0x28, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$7A>
0, 0x29, 0x29, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$7A>
0, 0x2A, 0x2A, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$7A>
0, 0x2B, 0x2B, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$7A>
0, 0x2C, 0x2C, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$7A>
0, 0x2D, 0x2D, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$7A>
0, 0x2E, 0x2E, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$7A>
0, 0x2F, 0x2F, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$7A>
0, 0x30, 0x30, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$7A>
0, 0x31, 0x31, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$7A>
0, 0x32, 0x32, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$7A>
0, 0x33, 0x33, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$7A>
0, 0x34, 0x34, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$7A>
0, 0x35, 0x35, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$7A>
0, 0x36, 0x36, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$7A>
0, 0x37, 0x37, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$7A>
0, 0x38, 0x38, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$7A>
0, 0x39, 0x39, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$7A>
0, 0x3A, 0x3A, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$7A>
0, 0x3B, 0x3B, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$7A>
0, 0x3C, 0x3C, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$7A>
0, 0x3D, 0x3D, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$7A>
0, 0x3E, 0x3E, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$7A>
0, 0x3F, 0x3F, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$7A>
0, 0x40, 0x40, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Yellow Mario Finished Stage, <$40>
0, 0x41, 0x41, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Yellow Luigi Finished Stage, <$41>
0, 0x42, 0x42, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Barren Ground, <$42>
0, 0x43, 0x43, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Desert Sand, <$43>
0, 0x44, 0x44, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, W. Road Connector A, <$44>
0, 0x45, 0x45, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, E.-W. Road A, <$45>
0, 0x46, 0x46, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, N.-S. Road A, <$46>
0, 0x47, 0x47, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, E. Road Connector A, <$47>
0, 0x48, 0x48, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, S. Road Connector A, <$48>
0, 0x49, 0x49, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, E.-W. Road C, <$49>
0, 0x4A, 0x4A, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, S. E. Road Connector A, <$4A>
0, 0x4B, 0x4B, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Boat Dock, <$4B>
0, 0x4C, 0x4C, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Weird, <$4C>
0, 0x4D, 0x4D, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Weird, <$4D>
0, 0x4E, 0x4E, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Weird Line, <$4E>
0, 0x4F, 0x4F, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Weird Line, <$4F>
0, 0x50, 0x50, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Mushroom House A, <$50>
0, 0x51, 0x51, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Rock A, <$51>
0, 0x52, 0x52, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Rock B, <$52>
0, 0x53, 0x53, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Rock C, <$53>
0, 0x54, 0x54, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Locked Door A, <$54>
0, 0x55, 0x55, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Star A, <$55>
0, 0x56, 0x56, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Locked Door B, <$56>
0, 0x57, 0x57, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, World 5 - SE Road view from clouds A, <$57>
0, 0x58, 0x58, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, World 5 - SW Road view from clouds, <$58>
0, 0x59, 0x59, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, World 5 - E-W Road view from clouds, <$59>
0, 0x5A, 0x5A, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, World 5 - Tower view from clouds, <$5A>
0, 0x5B, 0x5B, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, World 5 - E-W Road Connector view from clouds, <$5B>
0, 0x5C, 0x5C, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, World 5 - SE Road view from clouds B, <$5C>
0, 0x5D, 0x5D, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, World 5 - Hills view from clouds A, <$5D>
0, 0x5E, 0x5E, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, World 5 - Hills view from clouds B, <$5E>
0, 0x5F, 0x5F, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, World 5 - Tower, <$5F>
0, 0x60, 0x60, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Destroyed Dungeon A, <$60>
0, 0x61, 0x61, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, World 8 - Castle Top, <$61>
0, 0x62, 0x62, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, World 8 - Castle Columns, <$62>
0, 0x63, 0x63, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, World 8 - Clouds A, <$63>
0, 0x64, 0x64, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, World 8 - Castle Wall, <$64>
0, 0x65, 0x65, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, World 8 - Clouds B, <$65>
0, 0x66, 0x66, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, E. Road Connector C, <$66>
0, 0x67, 0x67, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Dungeon A, <$67>
0, 0x68, 0x68, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Desert Quicksand Level, <$68>
0, 0x69, 0x69, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Desert Pyramid Level, <$69>
0, 0x6A, 0x6A, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Weird, <$6A>
0, 0x6B, 0x6B, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$7A>
0, 0x6C, 0x6C, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$7A>
0, 0x6D, 0x6D, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$7A>
0, 0x6E, 0x6E, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$7A>
0, 0x6F, 0x6F, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$7A>
0, 0x70, 0x70, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$7A>
0, 0x71, 0x71, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$7A>
0, 0x72, 0x72, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$7A>
0, 0x73, 0x73, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$7A>
0, 0x74, 0x74, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$7A>
0, 0x75, 0x75, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$7A>
0, 0x76, 0x76, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$7A>
0, 0x77, 0x77, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$7A>
0, 0x78, 0x78, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$7A>
0, 0x79, 0x79, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$7A>
0, 0x7A, 0x7A, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$7A>
0, 0x7B, 0x7B, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$7A>
0, 0x7C, 0x7C, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$7A>
0, 0x7D, 0x7D, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$7A>
0, 0x7E, 0x7E, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$7A>
0, 0x7F, 0x7F, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Blank Square, <$7A>
0, 0x80, 0x80, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Green Mario Finished Stage, <$80>
0, 0x81, 0x81, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Green Luigi Finished Stage, <$81>
0, 0x82, 0x82, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Water 1, <$82>
0, 0x83, 0x83, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Water 2, <$83>
0, 0x84, 0x84, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Water 3, <$84>
0, 0x85, 0x85, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Water 4, <$85>
0, 0x86, 0x86, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Water 5, <$86>
0, 0x87, 0x87, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Water 6, <$87>
0, 0x88, 0x88, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Water 7, <$88>
0, 0x89, 0x89, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Water 8, <$89>
0, 0x8A, 0x8A, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Water 9, <$8A>
0, 0x8B, 0x8B, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Water 10, <$8B>
0, 0x8C, 0x8C, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Water 11, <$8C>
0, 0x8D, 0x8D, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Water 12, <$8D>
0, 0x8E, 0x8E, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Water 13, <$8E>
0, 0x8F, 0x8F, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Water 14, <$8F>
0, 0x90, 0x90, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Water 15, <$90>
0, 0x91, 0x91, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Water 16, <$91>
0, 0x92, 0x92, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Water 17, <$92>
0, 0x93, 0x93, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Water 18, <$93>
0, 0x94, 0x94, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Water 19, <$94>
0, 0x95, 0x95, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Water 20, <$95>
0, 0x96, 0x96, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Water 21, <$96>
0, 0x97, 0x97, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Water 22, <$97>
0, 0x98, 0x98, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Water 23, <$98>
0, 0x99, 0x99, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Water 24, <$99>
0, 0x9A, 0x9A, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Water 25, <$9A>
0, 0x9B, 0x9B, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Water 26, <$9B>
0, 0x9C, 0x9C, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Water 27, <$9C>
0, 0x9D, 0x9D, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Water 28, <$9D>
0, 0x9E, 0x9E, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Water 29, <$9E>
0, 0x9F, 0x9F, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Water 30, <$9F>
0, 0xA0, 0xA0, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Water 31, <$A0>
0, 0xA1, 0xA1, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Water 32, <$A1>
0, 0xA2, 0xA2, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Water 33, <$A2>
0, 0xA3, 0xA3, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Water 34, <$A3>
0, 0xA4, 0xA4, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Water 35, <$A4>
0, 0xA5, 0xA5, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Water 36, <$A5>
0, 0xA6, 0xA6, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Water 37, <$A6>
0, 0xA7, 0xA7, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Water 38, <$A7>
0, 0xA8, 0xA8, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Water 39, <$A8>
0, 0xA9, 0xA9, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Water 40, <$A9>
0, 0xAA, 0xAA, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, N. End of Road over Water, <$AA>
0, 0xAB, 0xAB, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, S. End of Road over Water, <$AB>
0, 0xAC, 0xAC, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, E.-W. Road over Water, <$AC>
0, 0xAD, 0xAD, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Island, <$AD>
0, 0xAE, 0xAE, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, E. Road Connector over Water, <$AE>
0, 0xAF, 0xAF, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, S. E. Road Connector over Water, <$AF>
0, 0xB0, 0xB0, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, N.-S. Road over Water, <$B0>
0, 0xB1, 0xB1, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, N.-S. Drawbridge, <$B1>
0, 0xB2, 0xB2, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, E.-W. Drawbridge, <$B2>
0, 0xB3, 0xB3, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Bridge, <$B3>
0, 0xB4, 0xB4, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Hills, <$B4>
0, 0xB5, 0xB5, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, S. Road Connector over Water, <$B5>
0, 0xB6, 0xB6, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, W. Road Connector over Water, <$B6>
0, 0xB7, 0xB7, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, W. End of Road over Water, <$B7>
0, 0xB8, 0xB8, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, E. End of Road over Water, <$B8>
0, 0xB9, 0xB9, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Road over N.-S. River, <$B9>
0, 0xBA, 0xBA, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Road over E.-W. River, <$BA>
0, 0xBB, 0xBB, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Palm Tree, <$BB>
0, 0xBC, 0xBC, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Pipe, <$BC>
0, 0xBD, 0xBD, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Flower, <$BD>
0, 0xBE, 0xBE, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Piranha Plant, <$BE>
0, 0xBF, 0xBF, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Pond, <$BF>
0, 0xC0, 0xC0, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Red Mario Finished Stage, <$C0>
0, 0xC1, 0xC1, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Red Luigi Finished Stage, <$C1>
0, 0xC2, 0xC2, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, World 5 - Clouds A, <$C2>
0, 0xC3, 0xC3, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, World 5 - Clouds B, <$C3>
0, 0xC4, 0xC4, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, World 5 - Clouds C, <$C4>
0, 0xC5, 0xC5, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, World 5 - Clouds D, <$C5>
0, 0xC6, 0xC6, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, World 5 - Clouds E, <$C6>
0, 0xC7, 0xC7, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, World 5 - Clouds F, <$C7>
0, 0xC8, 0xC8, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Castle Top, <$C8>
0, 0xC9, 0xC9, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Castle Bottom, <$C9>
0, 0xCA, 0xCA, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, World 8 - Top Left of Bowser's Castle, <$CA>
0, 0xCB, 0xCB, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, World 8 - Top Right of Bowser's Castle, <$CB>
0, 0xCC, 0xCC, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, World 8 - Bottom Left of Bowser's Castle, <$CC>
0, 0xCD, 0xCD, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, World 8 - Bottom Right of Bowser's Castle, <$CD>
0, 0xCE, 0xCE, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, World 5 - Clouds G, <$CE>
0, 0xCF, 0xCF, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, World 5 - Clouds H, <$CF>
0, 0xD0, 0xD0, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, World 5 - Clouds I, <$D0>
0, 0xD1, 0xD1, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Fire, <$D1>
0, 0xD2, 0xD2, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, World 5 - Clouds J, <$D2>
0, 0xD3, 0xD3, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, World 5 - Clouds K, <$D3>
0, 0xD4, 0xD4, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, World 5 - Clouds L, <$D4>
0, 0xD5, 0xD5, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Weird, <$D5>
0, 0xD6, 0xD6, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Red Square, <$D6>
0, 0xD7, 0xD7, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Plain Ground, <$D7>
0, 0xD8, 0xD8, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Black Square, <$D8>
0, 0xD9, 0xD9, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, W. Road Connector B, <$D9>
0, 0xDA, 0xDA, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, E.-W. Road B, <$DA>
0, 0xDB, 0xDB, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, N.-S. Road B, <$DB>
0, 0xDC, 0xDC, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, E. Road Connector B, <$DC>
0, 0xDD, 0xDD, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, S. Road Connector B, <$DD>
0, 0xDE, 0xDE, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, S. E. Road Connector B, <$DE>
0, 0xDF, 0xDF, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Weird Tower, <$DF>
0, 0xE0, 0xE0, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Mushroom House B, <$E0>
0, 0xE1, 0xE1, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, World 8 - Mushroom, <$E1>
0, 0xE2, 0xE2, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Skull, <$E2>
0, 0xE3, 0xE3, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Destroyed Dungeon B, <$E3>
0, 0xE4, 0xE4, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Locked Door C, <$E4>
0, 0xE5, 0xE5, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Start, <$E5>
0, 0xE6, 0xE6, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Hand Trap, <$E6>
0, 0xE7, 0xE7, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Weird Line, <$E7>
0, 0xE8, 0xE8, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Spade House, <$E8>
0, 0xE9, 0xE9, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Star B, <$E9>
0, 0xEA, 0xEA, 1, 1, SINGLE_BLOCK      , UNIFORM         , 3byte, Ice, <$EA>
